OrderNo, TotalOrderDiscount ,OrderTime,DeliveryTimeslot,OrderDate,DeliveryDate
532601112,-6,4.34 PM,Between 10:00 am and 2:00 pm,4/7/2015,4/10/2015
994918856,-30.85,3.34 PM,Between 6:00 pm and 10:00 pm,6/15/2015,6/16/2015
694693787,-4,4.32 PM,Between 6:00 pm and 10:00 pm,6/5/2015,6/12/2015
942112610,-7.49,9.45 PM,Between 2:00 pm and 6:00 pm,4/8/2015,4/11/2015
10863783,-16.9,4.38 PM,Between 6:00 pm and 10:00 pm,4/19/2015,4/23/2015
893523244,-12.5,9.59 PM,Between 10:00 am and 2:00 pm,6/3/2015,6/6/2015
356411403,-71.11,7.09 PM,Between 6:00 pm and 10:00 pm,7/1/2015,7/6/2015
495860074,-14.69,9.3 PM,Between 6:00 pm and 10:00 pm,7/1/2015,7/3/2015
739381276,-13.09,12.12 PM,Between 2:00 pm and 6:00 pm,6/3/2015,6/4/2015
357219150,-15.84,9.05 AM,Between 10:00 am and 2:00 pm,4/16/2015,4/20/2015
451956597,-13.21,7.5 AM,Between 6:00 pm and 5:59 pm (next day),6/8/2015,6/12/2015
840605699,-22.19,1.39 PM,Between 10:00 am and 2:00 pm,6/7/2015,6/13/2015
994960640,-15.44,8.49 PM,Between 10:00 am and 2:00 pm,7/4/2015,7/7/2015
557671572,-0.95,12.51 PM,Between 2:00 pm and 6:00 pm,4/28/2015,4/30/2015
689701748,-7.35,9.05 AM,Between 6:00 pm and 10:00 pm,6/12/2015,6/15/2015
869928192,-2.55,10.04 AM,Between 10:00 am and 2:00 pm,5/22/2015,5/23/2015
583181288,-7.49,1.45 PM,Between 10:00 am and 2:00 pm,6/25/2015,6/29/2015
659053015,-74.15,2.54 PM,Between 2:00 pm and 6:00 pm,5/31/2015,6/2/2015
918101033,-7.49,8.43 PM,Between 10:00 am and 2:00 pm,4/25/2015,5/2/2015
731187558,-5,1.21 PM,Between 10:00 am and 2:00 pm,4/18/2015,4/22/2015
502027389,-30.31,10.06 PM,Between 6:00 pm and 5:59 pm (next day),7/5/2015,7/7/2015
431551936,-6.91,10.58 PM,Between 6:00 pm and 5:59 pm (next day),5/6/2015,5/9/2015
108592213,-8.3,1.16 PM,Between 6:00 pm and 10:00 pm,5/3/2015,5/7/2015
573450271,-4,6.09 PM,Between 6:00 pm and 10:00 pm,5/6/2015,5/7/2015
400862975,-20.85,5.24 PM,Between 2:00 pm and 6:00 pm,5/14/2015,5/15/2015
920453992,-7.49,10.36 PM,Between 6:00 pm and 10:00 pm,6/12/2015,6/16/2015
375570482,-49.84,12.21 PM,Between 2:00 pm and 6:00 pm,5/9/2015,5/11/2015
300578658,-33.14,2.3 PM,Between 2:00 pm and 6:00 pm,4/8/2015,4/13/2015
424670400,-7.49,1.4 PM,Between 6:00 pm and 10:00 pm,7/1/2015,7/3/2015
193457780,-27.74,10.13 PM,Between 10:00 am and 2:00 pm,5/26/2015,5/29/2015
84496512,-18.84,11.22 PM,Between 2:00 pm and 6:00 pm,7/1/2015,7/4/2015
945184675,-7.49,5.31 PM,Between 2:00 pm and 6:00 pm,5/16/2015,5/18/2015
878242888,    ,4.57 PM,Between 2:00 pm and 6:00 pm,4/22/2015,4/24/2015
426016231,-12.55,12.31 PM,Between 2:00 pm and 6:00 pm,6/19/2015,6/22/2015
676351566,-0.35,12.15 PM,Between 2:00 pm and 6:00 pm,5/22/2015,5/23/2015
841032746,    ,10.4 AM,Between 2:00 pm and 6:00 pm,5/20/2015,5/21/2015
614061141,-30.74,7.11 PM,Between 6:00 pm and 10:00 pm,5/20/2015,5/21/2015
178262209,-21.3,4.02 PM,Between 10:00 am and 2:00 pm,6/13/2015,6/17/2015
121096787,-17.65,11.05 AM,Between 2:00 pm and 6:00 pm,7/1/2015,7/3/2015
460889951,-11.94,8.45 AM,Between 2:00 pm and 6:00 pm,6/2/2015,6/3/2015
255361009,-0.85,8.32 PM,Between 10:00 am and 2:00 pm,4/15/2015,4/17/2015
136096489,-8.04,4.41 PM,Between 6:00 pm and 10:00 pm,6/25/2015,6/26/2015
425360526,-2.85,12.31 PM,Between 2:00 pm and 6:00 pm,5/14/2015,5/15/2015
283019283,-11.59,2.02 PM,Between 6:00 pm and 10:00 pm,5/27/2015,5/28/2015
383786220,-15.09,4.37 PM,Between 2:00 pm and 6:00 pm,5/13/2015,5/14/2015
7817242,-10,2.11 PM,Between 10:00 am and 2:00 pm,6/19/2015,6/22/2015
1788281,-21.19,1.04 PM,Between 10:00 am and 2:00 pm,6/1/2015,6/6/2015
566072107,-17.09,10.17 AM,Between 10:00 am and 2:00 pm,4/29/2015,5/2/2015
626083499,-74.39,10.43 PM,Between 2:00 pm and 6:00 pm,7/3/2015,7/9/2015
322528631,-11.85,6.21 PM,Between 10:00 am and 2:00 pm,6/6/2015,6/11/2015
692126677,-21.99,9.07 PM,Between 6:00 pm and 10:00 pm,5/4/2015,5/7/2015
261377076,-19.29,3.37 PM,Between 10:00 am and 2:00 pm,6/7/2015,6/11/2015
267315819,-21.39,12.37 PM,Between 2:00 pm and 6:00 pm,6/3/2015,6/6/2015
853413225,-7.49,5.5 PM,Between 10:00 am and 2:00 pm,4/15/2015,4/19/2015
585299242,-3.05,8.33 PM,Between 2:00 pm and 6:00 pm,6/2/2015,6/4/2015
141886070,-3.05,11.25 PM,Between 2:00 pm and 6:00 pm,4/22/2015,4/24/2015
229485662,-13.99,1.14 PM,Between 10:00 am and 2:00 pm,5/27/2015,5/29/2015
1837425,-6.6,12.41 PM,,5/7/2015,
316140734,-14.65,9.45 AM,Between 2:00 pm and 6:00 pm,5/19/2015,5/20/2015
499519082,-13.54,11.29 AM,Between 6:00 pm and 10:00 pm,6/19/2015,6/20/2015
148796906,-24.39,8.41 PM,Between 10:00 am and 2:00 pm,4/8/2015,4/13/2015
360620146,-12.5,2.47 PM,Between 6:00 pm and 10:00 pm,4/11/2015,4/13/2015
596229036,    ,12.38 PM,Between 10:00 am and 2:00 pm,4/29/2015,5/4/2015
103729502,-10.69,5.2 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/30/2015
192677562,-17.49,11.25 PM,Between 10:00 am and 2:00 pm,5/5/2015,5/9/2015
202683082,-2.4,1.44 PM,Between 2:00 pm and 6:00 pm,5/25/2015,5/26/2015
245820352,-6.25,11.46 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/10/2015
243002655,-29.74,9.41 PM,Between 10:00 am and 2:00 pm,6/14/2015,6/18/2015
699877264,-4.3,10.43 PM,Between 10:00 am and 2:00 pm,5/27/2015,6/1/2015
754596335,-9.49,5.37 PM,Between 10:00 am and 2:00 pm,6/17/2015,6/21/2015
869991694,-11.99,9.53 AM,Between 2:00 pm and 6:00 pm,6/3/2015,6/4/2015
358136732,-7.49,11.02 PM,Between 2:00 pm and 6:00 pm,6/11/2015,6/15/2015
195071335,-6.6,8.56 PM,Between 10:00 am and 2:00 pm,5/12/2015,5/18/2015
840643380,-36.19,3.01 PM,Between 6:00 pm and 10:00 pm,6/21/2015,6/23/2015
524232667,-9.8,12.09 AM,Between 6:00 pm and 10:00 pm,4/15/2015,4/17/2015
288920658,-7.49,8.01 AM,Between 2:00 pm and 6:00 pm,4/13/2015,4/16/2015
60259812,-33.04,10.39 AM,Between 10:00 am and 2:00 pm,6/28/2015,6/30/2015
622425387,-3.21,12.21 AM,Between 6:00 pm and 5:59 pm (next day),4/24/2015,4/27/2015
596315852,-27.7,10.45 PM,Between 6:00 pm and 10:00 pm,6/7/2015,6/12/2015
117587376,-20.29,5.33 PM,Between 2:00 pm and 6:00 pm,7/3/2015,7/4/2015
621688298,-37.49,9.57 PM,Between 10:00 am and 2:00 pm,6/2/2015,6/9/2015
514717452,-26,3.5 PM,Between 2:00 pm and 6:00 pm,6/2/2015,6/4/2015
864819338,-21.54,3.11 PM,Between 10:00 am and 2:00 pm,5/13/2015,5/15/2015
348033875,-3.21,6.15 AM,Between 6:00 pm and 5:59 pm (next day),5/30/2015,6/2/2015
972715536,-50.09,12.01 AM,Between 6:00 pm and 10:00 pm,5/5/2015,5/6/2015
880634869,-13.04,11.3 AM,Between 10:00 am and 2:00 pm,7/1/2015,7/3/2015
922889105,-9.24,11.25 AM,Between 2:00 pm and 6:00 pm,6/26/2015,6/27/2015
909227122,-9.69,4.28 PM,Between 2:00 pm and 6:00 pm,6/20/2015,6/24/2015
166513207,-4.7,11.41 AM,Between 10:00 am and 2:00 pm,4/8/2015,4/10/2015
839925919,-28.79,9.39 PM,Between 10:00 am and 2:00 pm,5/21/2015,5/23/2015
86506388,-1.55,4.42 PM,Between 10:00 am and 2:00 pm,4/8/2015,4/10/2015
505969008,-24.35,8.18 PM,Between 2:00 pm and 6:00 pm,6/11/2015,6/16/2015
620615457,-9.97,11.5 AM,Between 6:00 pm and 10:00 pm,5/27/2015,5/28/2015
960703249,-12.09,4.33 PM,Between 2:00 pm and 6:00 pm,5/26/2015,6/1/2015
131946005,-23.59,11.42 PM,Between 6:00 pm and 10:00 pm,6/21/2015,6/24/2015
269400288,-17.49,10.49 PM,Between 6:00 pm and 10:00 pm,5/6/2015,5/11/2015
689369406,-0.35,5.1 PM,Between 10:00 am and 2:00 pm,4/25/2015,4/29/2015
621832069,-18.49,6.36 PM,Between 6:00 pm and 10:00 pm,6/2/2015,6/4/2015
23366649,-1.75,7.24 PM,Between 10:00 am and 2:00 pm,5/10/2015,5/12/2015
699116866,-2.7,7.26 PM,Between 2:00 pm and 6:00 pm,5/2/2015,5/5/2015
167456175,-25.74,4.47 PM,Between 2:00 pm and 6:00 pm,6/10/2015,6/15/2015
521022635,-35.71,12.05 PM,Between 6:00 pm and 5:59 pm (next day),6/25/2015,7/7/2015
503326060,-0.85,2.28 PM,Between 2:00 pm and 6:00 pm,4/16/2015,4/20/2015
276531623,-11.19,8.51 PM,Between 6:00 pm and 10:00 pm,6/30/2015,7/2/2015
828563524,    ,9.54 PM,Between 10:00 am and 2:00 pm,7/2/2015,7/4/2015
700026590,-2.75,9.57 AM,Between 10:00 am and 2:00 pm,6/24/2015,7/4/2015
333922886,-6.6,11.41 PM,Between 6:00 pm and 10:00 pm,5/11/2015,5/13/2015
308964221,-62.25,10.51 PM,Between 6:00 pm and 10:00 pm,4/14/2015,4/16/2015
820168284,-15.2,11.54 PM,Between 6:00 pm and 10:00 pm,6/10/2015,6/17/2015
930925108,    ,10.23 PM,Between 10:00 am and 2:00 pm,5/13/2015,5/15/2015
426440885,-57.89,11.32 PM,Between 2:00 pm and 6:00 pm,6/3/2015,6/5/2015
809720277,-20.29,2.1 PM,Between 6:00 pm and 10:00 pm,5/27/2015,5/28/2015
612508001,-2.9,10.29 AM,Between 6:00 pm and 10:00 pm,4/6/2015,4/8/2015
303784376,-6.05,3.23 PM,Between 6:00 pm and 10:00 pm,5/18/2015,5/19/2015
494673302,-19.19,4.34 PM,Between 6:00 pm and 10:00 pm,4/30/2015,5/1/2015
426054831,-23.69,12.59 PM,Between 6:00 pm and 10:00 pm,6/21/2015,6/26/2015
301498220,-7.49,3.02 PM,Between 6:00 pm and 10:00 pm,6/25/2015,6/26/2015
308967582,-12.9,12.07 AM,Between 2:00 pm and 6:00 pm,4/7/2015,4/9/2015
36804521,-13.24,3.59 PM,Between 2:00 pm and 6:00 pm,6/10/2015,6/15/2015
62463167,-11.34,3.09 PM,Between 6:00 pm and 10:00 pm,4/12/2015,4/14/2015
266590531,-3.21,12.25 PM,Between 6:00 pm and 5:59 pm (next day),4/9/2015,4/11/2015
248342820,-9.91,11.39 AM,Between 10:00 am and 2:00 pm,6/24/2015,6/29/2015
663136190,-15.64,6.21 PM,Between 10:00 am and 2:00 pm,7/1/2015,7/6/2015
377376549,-10.36,11.26 AM,Between 2:00 pm and 6:00 pm,5/9/2015,5/11/2015
394216443,-23.19,8.4 AM,Between 6:00 pm and 10:00 pm,5/31/2015,6/2/2015
947387245,    ,5.46 PM,Between 10:00 am and 2:00 pm,4/20/2015,4/24/2015
737003982,-17.25,10.24 AM,Between 10:00 am and 2:00 pm,6/12/2015,6/15/2015
669908265,-21.14,4.43 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/10/2015
602274316,-12.35,1.13 PM,Between 10:00 am and 2:00 pm,4/27/2015,4/29/2015
960577787,-27.64,4.35 PM,Between 6:00 pm and 10:00 pm,5/27/2015,5/29/2015
912459052,-7.05,6.45 PM,Between 10:00 am and 2:00 pm,4/11/2015,4/15/2015
843040818,-7.02,12.13 PM,Between 10:00 am and 2:00 pm,7/3/2015,7/6/2015
214552171,    ,8.12 AM,Between 6:00 pm and 10:00 pm,5/30/2015,6/6/2015
177815010,-7.49,1:00 PM,Between 6:00 pm and 10:00 pm,5/20/2015,5/21/2015
310097636,-18.14,6.07 PM,Between 10:00 am and 2:00 pm,5/13/2015,5/17/2015
12462115,-5.15,3.05 PM,Between 2:00 pm and 6:00 pm,6/3/2015,6/5/2015
855463086,-11.09,2.52 PM,Between 10:00 am and 2:00 pm,5/7/2015,5/10/2015
412940017,-17.99,2.12 PM,Between 10:00 am and 2:00 pm,6/7/2015,6/16/2015
679002290,-2.85,3.44 PM,Between 10:00 am and 2:00 pm,4/13/2015,4/16/2015
621597912,-16.75,8.37 AM,Between 10:00 am and 2:00 pm,7/2/2015,7/3/2015
924240054,-8.34,12.44 PM,Between 6:00 pm and 10:00 pm,5/10/2015,5/12/2015
305095071,-15.44,12.06 AM,Between 10:00 am and 2:00 pm,4/24/2015,4/26/2015
968900819,-7.55,10.31 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/10/2015
176516689,-1.35,9.06 PM,Between 2:00 pm and 6:00 pm,4/7/2015,4/11/2015
690184267,-1.75,6.2 PM,Between 2:00 pm and 6:00 pm,5/20/2015,5/21/2015
787223125,-12.14,1.24 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/29/2015
897751763,-10.89,11.5 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/30/2015
256917123,-7.49,2.44 PM,Between 10:00 am and 2:00 pm,6/17/2015,6/24/2015
994326656,-9.9,5.23 PM,Between 2:00 pm and 6:00 pm,5/18/2015,5/19/2015
596162011,-20.09,6.53 PM,Between 6:00 pm and 10:00 pm,6/7/2015,6/12/2015
566656986,-24.24,2.36 PM,Between 10:00 am and 2:00 pm,6/17/2015,6/20/2015
759711341,    ,12.35 AM,Between 6:00 pm and 10:00 pm,6/20/2015,6/23/2015
216842641,-8.09,11.43 AM,Between 6:00 pm and 10:00 pm,5/27/2015,5/28/2015
490395554,-9.52,1.47 PM,Between 10:00 am and 2:00 pm,4/16/2015,4/23/2015
646451808,-2.4,10.54 PM,Between 2:00 pm and 6:00 pm,5/19/2015,5/21/2015
360207695,-11.54,9.23 PM,Between 6:00 pm and 10:00 pm,6/25/2015,6/27/2015
918555859,-46.75,11.16 PM,Between 10:00 am and 2:00 pm,6/30/2015,7/4/2015
626432256,    ,4:00 PM,Between 2:00 pm and 6:00 pm,6/29/2015,6/30/2015
431529718,-78.94,3.34 PM,Between 2:00 pm and 6:00 pm,6/21/2015,6/26/2015
470833658,-27.95,10.27 PM,Between 10:00 am and 2:00 pm,6/15/2015,6/18/2015
616282583,-12.69,9.34 PM,Between 6:00 pm and 10:00 pm,5/23/2015,5/26/2015
743064026,-7.49,8.36 PM,Between 2:00 pm and 6:00 pm,6/7/2015,6/12/2015
761993762,-11.29,9.2 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/29/2015
156426053,-19.19,11.15 AM,Between 2:00 pm and 6:00 pm,6/7/2015,6/12/2015
703900832,    ,1.22 PM,Between 10:00 am and 2:00 pm,4/17/2015,4/22/2015
899000894,-14.54,5.18 AM,Between 10:00 am and 2:00 pm,6/6/2015,6/9/2015
758700758,-1.75,10.39 AM,Between 2:00 pm and 6:00 pm,5/12/2015,5/13/2015
683746847,-6.07,4.1 PM,Between 2:00 pm and 6:00 pm,5/17/2015,5/25/2015
230942011,-30.24,12.33 PM,Between 2:00 pm and 6:00 pm,5/8/2015,5/12/2015
201345403,-21.2,4.57 PM,Between 2:00 pm and 6:00 pm,4/8/2015,4/10/2015
396509499,-81.99,2.04 PM,Between 10:00 am and 2:00 pm,4/6/2015,4/12/2015
912095235,    ,9.09 AM,Between 6:00 pm and 10:00 pm,5/26/2015,5/27/2015
591288561,-11.29,3.16 PM,Between 10:00 am and 2:00 pm,7/1/2015,7/3/2015
329634748,-48.25,10.43 AM,Between 10:00 am and 2:00 pm,4/11/2015,4/15/2015
720523508,-0.35,8.56 PM,Between 10:00 am and 2:00 pm,6/24/2015,6/27/2015
888800517,-4.11,12.3 AM,Between 2:00 pm and 6:00 pm,4/8/2015,4/11/2015
478885747,-16.24,11.51 AM,Between 10:00 am and 2:00 pm,5/27/2015,5/29/2015
732864654,    ,8.57 PM,Between 6:00 pm and 10:00 pm,5/24/2015,5/26/2015
648955208,-46.19,12.21 PM,Between 10:00 am and 2:00 pm,6/7/2015,6/11/2015
113719518,-37.54,10.58 AM,Between 2:00 pm and 6:00 pm,5/20/2015,5/21/2015
321596201,-7.49,3.16 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/29/2015
662567896,-23.49,5.28 PM,Between 2:00 pm and 6:00 pm,6/20/2015,6/27/2015
689010718,    ,12.12 AM,Between 2:00 pm and 6:00 pm,5/20/2015,5/22/2015
105118487,-11.95,9.58 AM,Between 2:00 pm and 6:00 pm,6/3/2015,6/4/2015
332536908,-17.5,1.09 AM,Between 2:00 pm and 6:00 pm,6/29/2015,6/30/2015
153914512,-7.05,11.1 PM,Between 6:00 pm and 10:00 pm,5/25/2015,5/27/2015
228699098,-15.69,10.13 PM,Between 10:00 am and 2:00 pm,5/12/2015,5/14/2015
815695689,-7.49,7.32 PM,Between 6:00 pm and 10:00 pm,6/28/2015,6/30/2015
536902179,-9.4,12.23 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/28/2015
490036945,-15.34,6.36 PM,Between 10:00 am and 2:00 pm,6/1/2015,6/7/2015
586959468,-2.95,2.11 PM,Between 6:00 pm and 10:00 pm,6/29/2015,6/30/2015
885895050,-2.25,8.3 AM,Between 6:00 pm and 10:00 pm,5/13/2015,5/14/2015
803979867,-9.79,12.4 AM,Between 10:00 am and 2:00 pm,5/20/2015,5/21/2015
781974287,-29.2,11.01 PM,Between 2:00 pm and 6:00 pm,6/17/2015,6/22/2015
928374812,-19.44,4.56 PM,Between 2:00 pm and 6:00 pm,5/9/2015,5/11/2015
517889034,-15.85,12.13 PM,Between 2:00 pm and 6:00 pm,5/12/2015,5/13/2015
916403048,-12.34,1.52 PM,Between 10:00 am and 2:00 pm,6/17/2015,6/20/2015
216645560,-10.14,10.48 PM,Between 2:00 pm and 6:00 pm,5/27/2015,5/30/2015
103619886,-8.24,10.29 PM,Between 10:00 am and 2:00 pm,5/27/2015,5/30/2015
891062300,-39.84,11.34 PM,Between 2:00 pm and 6:00 pm,5/31/2015,6/3/2015
490167517,-2,2.15 PM,Between 10:00 am and 2:00 pm,4/17/2015,4/20/2015
188490819,-13.75,8.01 PM,Between 10:00 am and 2:00 pm,6/7/2015,6/12/2015
751427008,-9.04,4.12 PM,Between 6:00 pm and 10:00 pm,5/27/2015,5/28/2015
759335781,-1.75,8.11 AM,Between 10:00 am and 2:00 pm,6/3/2015,6/4/2015
777385021,    ,6.2 PM,Between 10:00 am and 2:00 pm,4/8/2015,4/10/2015
751108319,-3.95,6.04 PM,Between 2:00 pm and 6:00 pm,5/11/2015,5/13/2015
338347830,-30.44,1.33 PM,Between 10:00 am and 2:00 pm,5/27/2015,5/29/2015
227930943,-13.44,11.03 PM,Between 10:00 am and 2:00 pm,4/20/2015,4/23/2015
736282452,-1.4,4.27 PM,Between 10:00 am and 2:00 pm,7/1/2015,7/4/2015
609328551,-27.79,9.11 PM,Between 10:00 am and 2:00 pm,5/18/2015,5/20/2015
798770053,-4.7,8.27 PM,Between 10:00 am and 2:00 pm,5/24/2015,5/26/2015
11445763,-13.85,6.33 PM,Between 2:00 pm and 6:00 pm,6/29/2015,6/30/2015
406768709,-53.83,9.19 PM,Between 6:00 pm and 10:00 pm,7/1/2015,7/3/2015
730469017,-27.94,11.3 PM,Between 10:00 am and 2:00 pm,5/20/2015,5/23/2015
107580475,-25.2,12.46 PM,Between 2:00 pm and 6:00 pm,6/29/2015,7/3/2015
155981536,-31.59,8.29 AM,Between 6:00 pm and 10:00 pm,5/14/2015,5/15/2015
331700148,-7.49,9.25 AM,Between 10:00 am and 2:00 pm,6/2/2015,6/3/2015
699883939,-7.49,9.36 PM,Between 6:00 pm and 10:00 pm,6/21/2015,6/24/2015
917352711,-21.74,11.38 AM,Between 2:00 pm and 6:00 pm,6/20/2015,6/23/2015
26462626,-25.96,7.28 AM,Between 6:00 pm and 5:59 pm (next day),6/17/2015,6/18/2015
989734177,-9.59,10.59 PM,Between 10:00 am and 2:00 pm,6/19/2015,6/22/2015
809073326,-28.1,6.1 PM,Between 2:00 pm and 6:00 pm,7/5/2015,7/7/2015
597214287,    ,4.5 PM,Between 2:00 pm and 6:00 pm,5/31/2015,6/2/2015
96582041,-7.49,2.47 PM,Between 2:00 pm and 6:00 pm,6/28/2015,6/30/2015
274579211,-35.59,8.17 PM,Between 6:00 pm and 10:00 pm,5/28/2015,6/1/2015
247414308,-10.44,7.21 PM,Between 10:00 am and 2:00 pm,6/1/2015,6/5/2015
736096408,-26.87,11.14 PM,Between 6:00 pm and 10:00 pm,6/26/2015,7/1/2015
79049281,-37.29,2.25 PM,Between 2:00 pm and 6:00 pm,6/21/2015,6/23/2015
114745701,-7.49,7.52 PM,Between 2:00 pm and 6:00 pm,6/6/2015,6/13/2015
450559203,-7.49,10.44 PM,Between 2:00 pm and 6:00 pm,7/1/2015,7/3/2015
682028146,-7.49,11.34 PM,Between 6:00 pm and 10:00 pm,4/27/2015,4/30/2015
415786795,    ,9.01 AM,Between 6:00 pm and 10:00 pm,5/22/2015,5/23/2015
365432421,-149.97,12.29 PM,Between 6:00 pm and 10:00 pm,6/5/2015,6/9/2015
672122929,-35.71,12.02 PM,Between 6:00 pm and 5:59 pm (next day),6/25/2015,7/7/2015
711375482,-11.89,11.55 PM,Between 2:00 pm and 6:00 pm,6/22/2015,6/24/2015
197054566,-15.04,2.53 PM,Between 10:00 am and 2:00 pm,5/27/2015,5/30/2015
452449642,    ,8.26 PM,Between 2:00 pm and 6:00 pm,5/24/2015,5/27/2015
82916715,-21.15,3.07 PM,Between 2:00 pm and 6:00 pm,5/30/2015,6/1/2015
335423805,-43.09,1.31 AM,Between 10:00 am and 2:00 pm,5/3/2015,5/8/2015
831597002,-20.09,12.01 PM,Between 2:00 pm and 6:00 pm,4/27/2015,4/29/2015
337560639,-9.55,12.42 PM,Between 2:00 pm and 6:00 pm,4/29/2015,4/30/2015
310642998,-7.49,11.19 AM,Between 6:00 pm and 10:00 pm,6/28/2015,6/30/2015
214861073,    ,4.43 PM,Between 6:00 pm and 10:00 pm,5/11/2015,5/12/2015
396745186,-15.09,6.24 AM,Between 2:00 pm and 6:00 pm,6/26/2015,6/27/2015
817941556,-10.44,10.44 PM,Between 2:00 pm and 6:00 pm,5/13/2015,5/15/2015
193278613,-9.79,2.55 AM,Between 2:00 pm and 6:00 pm,6/4/2015,6/5/2015
87436140,-7.49,10.2 PM,Between 6:00 pm and 10:00 pm,5/26/2015,5/29/2015
76306163,-17.49,2.33 AM,Between 2:00 pm and 6:00 pm,6/26/2015,6/27/2015
643384710,-12.09,12.36 PM,Between 2:00 pm and 6:00 pm,6/2/2015,6/3/2015
38470002,-3.21,9.31 AM,Between 6:00 pm and 5:59 pm (next day),5/2/2015,5/4/2015
972054545,    ,11.24 PM,Between 10:00 am and 2:00 pm,4/30/2015,5/3/2015
843410764,    ,7.54 AM,Between 10:00 am and 2:00 pm,5/19/2015,5/20/2015
